year,country,industry,action,asset,data_type,data_stolen
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2013,US,611110,"['error', 'misuse']",S - Unknown,['Personal'],Yes
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2018,US,518210,['error'],S - Web application,['Unknown'],No
2013,GB,000,['hacking'],S - Web application,[],
2019,GB,518210,['error'],S - File,['Personal'],Yes
2015,US,621111,['error'],M - Documents,['Medical'],Yes
2015,US,611310,"['hacking', 'malware']",S - Web application,['Medical'],Potentially
2014,US,622110,"['malware', 'social']",P - End-user or employee,['Medical'],Yes
2013,TR,923120,['hacking'],S - Web application,[],
2016,US,447110,['physical'],T - Gas terminal,['Bank'],Yes
2018,US,524292,['error'],S - Web application,['Personal'],Yes
2011,US,923140,['error'],M - Documents,['Unknown'],Yes
2017,Unknown,325110,['malware'],E - Telemetry,['Unknown'],No
2015,US,923120,['error'],U - Desktop,['Personal'],Yes
2017,US,711410,['error'],S - Database,['Personal'],Yes
2013,US,62111,['error'],M - Documents,['Medical'],Yes
2014,US,923140,['error'],U - Desktop,['Unknown'],Yes
2019,US,621420,['malware'],S - Unknown,['Medical'],Yes
2013,AU,921110,['hacking'],S - Web application,[],
2016,BS,522110,['hacking'],S - Database,['Personal'],Yes
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2014,US,522310,['misuse'],S - Database,"['Personal', 'Internal']",Yes
2011,US,51119,['hacking'],S - Web application,['Personal'],Yes
2015,US,561110,['social'],P - Unknown,['Medical'],Yes
2013,US,922120,['hacking'],Unknown,['Internal'],Yes
2015,US,923140,['error'],M - Documents,['Unknown'],Yes
2023,US,611310,"['hacking', 'malware']",S - File,['Personal'],Yes
2016,US,622110,"['error', 'physical']",M - Documents,['Personal'],Potentially
2013,US,561990,['physical'],M - Documents,['Personal'],Yes
2013,GB,922120,['malware'],S - Database,[],
2016,US,515111,['hacking'],S - Unknown,[],
2015,US,447110,['physical'],T - Gas terminal,['Payment'],Potentially
2013,US,923140,['error'],M - Documents,['Unknown'],Yes
2016,US,612110,['error'],S - Mail,['Personal'],Yes
